datetime,symbol,open,high,low,close,volume
2024-08-15 19:57:00,CME_MINI:NQ1!,19595.25,19606.0,19595.0,19603.5,108.0
2024-08-15 19:58:00,CME_MINI:NQ1!,19603.75,19607.75,19601.0,19601.0,83.0
2024-08-15 19:59:00,CME_MINI:NQ1!,19601.0,19603.25,19598.5,19602.75,44.0
2024-08-15 20:00:00,CME_MINI:NQ1!,19601.25,19601.75,19593.25,19596.25,89.0
2024-08-15 20:01:00,CME_MINI:NQ1!,19597.0,19598.25,19596.0,19597.25,18.0
2024-08-15 20:02:00,CME_MINI:NQ1!,19598.5,19602.75,19597.5,19598.0,38.0
2024-08-15 20:03:00,CME_MINI:NQ1!,19597.5,19600.5,19594.25,19599.25,28.0
2024-08-15 20:04:00,CME_MINI:NQ1!,19599.0,19599.5,19597.75,19598.25,10.0
2024-08-15 20:05:00,CME_MINI:NQ1!,19598.5,19601.0,19595.5,19595.75,53.0
2024-08-15 20:06:00,CME_MINI:NQ1!,19597.0,19601.0,19595.75,19597.75,40.0
2024-08-15 20:07:00,CME_MINI:NQ1!,19598.75,19599.0,19588.0,19595.0,98.0
2024-08-15 20:08:00,CME_MINI:NQ1!,19596.25,19598.75,19593.0,19595.0,32.0
2024-08-15 20:09:00,CME_MINI:NQ1!,19593.5,19598.0,19593.25,19596.25,35.0
2024-08-15 20:10:00,CME_MINI:NQ1!,19595.0,19599.25,19594.25,19597.0,44.0
2024-08-15 20:11:00,CME_MINI:NQ1!,19598.75,19601.5,19591.0,19592.0,49.0
2024-08-15 20:12:00,CME_MINI:NQ1!,19593.75,19594.5,19590.75,19593.25,52.0
2024-08-15 20:13:00,CME_MINI:NQ1!,19592.5,19599.0,19592.5,19592.5,36.0
2024-08-15 20:14:00,CME_MINI:NQ1!,19593.0,19596.75,19591.0,19596.25,33.0
2024-08-15 20:15:00,CME_MINI:NQ1!,19594.75,19598.5,19594.25,19596.25,25.0
2024-08-15 20:16:00,CME_MINI:NQ1!,19597.25,19599.5,19596.0,19598.5,30.0
2024-08-15 20:17:00,CME_MINI:NQ1!,19598.5,19604.25,19598.5,19604.25,45.0
2024-08-15 20:18:00,CME_MINI:NQ1!,19603.5,19605.5,19599.75,19604.25,73.0
2024-08-15 20:19:00,CME_MINI:NQ1!,19604.5,19604.5,19600.75,19603.0,22.0
2024-08-15 20:20:00,CME_MINI:NQ1!,19602.25,19604.0,19601.75,19603.25,11.0
2024-08-15 20:21:00,CME_MINI:NQ1!,19603.5,19610.0,19602.0,19606.75,112.0
2024-08-15 20:22:00,CME_MINI:NQ1!,19606.25,19609.75,19604.0,19608.0,116.0
2024-08-15 20:23:00,CME_MINI:NQ1!,19608.25,19611.0,19606.0,19609.25,67.0
2024-08-15 20:24:00,CME_MINI:NQ1!,19608.25,19610.0,19606.25,19607.5,33.0
2024-08-15 20:25:00,CME_MINI:NQ1!,19606.25,19611.5,19606.25,19609.0,72.0
2024-08-15 20:26:00,CME_MINI:NQ1!,19608.5,19610.75,19608.25,19609.75,20.0
2024-08-15 20:27:00,CME_MINI:NQ1!,19608.5,19609.25,19605.5,19608.25,53.0
2024-08-15 20:28:00,CME_MINI:NQ1!,19609.75,19611.25,19605.0,19610.0,46.0
2024-08-15 20:29:00,CME_MINI:NQ1!,19610.25,19610.75,19606.25,19608.75,57.0
2024-08-15 20:30:00,CME_MINI:NQ1!,19609.0,19614.25,19609.0,19611.75,80.0
2024-08-15 20:31:00,CME_MINI:NQ1!,19613.75,19613.75,19610.0,19612.0,32.0
2024-08-15 20:32:00,CME_MINI:NQ1!,19611.5,19612.75,19610.0,19612.75,23.0
2024-08-15 20:33:00,CME_MINI:NQ1!,19612.25,19612.5,19610.0,19610.75,23.0
2024-08-15 20:34:00,CME_MINI:NQ1!,19611.75,19612.25,19608.0,19609.75,57.0
2024-08-15 20:35:00,CME_MINI:NQ1!,19609.0,19609.5,19605.5,19609.5,37.0
2024-08-15 20:36:00,CME_MINI:NQ1!,19608.0,19610.0,19606.0,19607.25,30.0
2024-08-15 20:37:00,CME_MINI:NQ1!,19607.75,19609.25,19607.0,19609.25,28.0
2024-08-15 20:38:00,CME_MINI:NQ1!,19609.75,19616.25,19609.75,19611.25,97.0
2024-08-15 20:39:00,CME_MINI:NQ1!,19612.75,19614.5,19612.75,19614.25,18.0
2024-08-15 20:40:00,CME_MINI:NQ1!,19613.25,19614.0,19610.75,19611.5,31.0
2024-08-15 20:41:00,CME_MINI:NQ1!,19611.75,19613.75,19609.75,19613.5,35.0
2024-08-15 20:42:00,CME_MINI:NQ1!,19613.0,19617.75,19612.5,19617.5,78.0
2024-08-15 20:43:00,CME_MINI:NQ1!,19617.5,19623.25,19616.75,19621.0,127.0
2024-08-15 20:44:00,CME_MINI:NQ1!,19620.25,19624.25,19618.25,19624.25,43.0
2024-08-15 20:45:00,CME_MINI:NQ1!,19622.25,19624.5,19620.25,19622.5,52.0
2024-08-15 20:46:00,CME_MINI:NQ1!,19622.25,19622.25,19615.75,19617.0,52.0
2024-08-15 20:47:00,CME_MINI:NQ1!,19616.75,19618.5,19616.5,19616.5,12.0
2024-08-15 20:48:00,CME_MINI:NQ1!,19618.0,19618.0,19616.25,19616.75,11.0
2024-08-15 20:49:00,CME_MINI:NQ1!,19616.75,19618.0,19612.75,19614.75,70.0
2024-08-15 20:50:00,CME_MINI:NQ1!,19613.0,19613.0,19606.0,19608.0,85.0
2024-08-15 20:51:00,CME_MINI:NQ1!,19609.25,19609.25,19600.5,19604.75,87.0
2024-08-15 20:52:00,CME_MINI:NQ1!,19606.5,19610.0,19606.5,19608.5,46.0
2024-08-15 20:53:00,CME_MINI:NQ1!,19608.25,19613.75,19606.5,19611.5,38.0
2024-08-15 20:54:00,CME_MINI:NQ1!,19611.5,19612.5,19610.5,19611.25,8.0
2024-08-15 20:55:00,CME_MINI:NQ1!,19610.5,19616.0,19610.5,19613.25,43.0
2024-08-15 20:56:00,CME_MINI:NQ1!,19613.25,19614.75,19611.5,19611.5,14.0
2024-08-15 20:57:00,CME_MINI:NQ1!,19613.25,19615.5,19611.5,19613.5,27.0
2024-08-15 20:58:00,CME_MINI:NQ1!,19613.75,19615.5,19612.75,19614.75,30.0
2024-08-15 20:59:00,CME_MINI:NQ1!,19615.0,19616.0,19612.25,19613.5,14.0
2024-08-15 21:00:00,CME_MINI:NQ1!,19614.0,19621.25,19614.0,19616.5,102.0
2024-08-15 21:01:00,CME_MINI:NQ1!,19617.25,19618.75,19614.5,19618.5,33.0
2024-08-15 21:02:00,CME_MINI:NQ1!,19617.75,19620.0,19617.25,19619.75,30.0
2024-08-15 21:03:00,CME_MINI:NQ1!,19620.0,19623.0,19618.5,19618.5,48.0
2024-08-15 21:04:00,CME_MINI:NQ1!,19618.0,19620.0,19612.5,19615.75,116.0
2024-08-15 21:05:00,CME_MINI:NQ1!,19616.25,19616.25,19613.75,19614.75,24.0
2024-08-15 21:06:00,CME_MINI:NQ1!,19615.25,19615.25,19613.25,19615.25,8.0
2024-08-15 21:07:00,CME_MINI:NQ1!,19614.75,19614.75,19613.0,19614.25,20.0
2024-08-15 21:08:00,CME_MINI:NQ1!,19615.0,19617.0,19613.25,19616.5,24.0
2024-08-15 21:09:00,CME_MINI:NQ1!,19616.75,19618.0,19613.5,19615.5,49.0
2024-08-15 21:10:00,CME_MINI:NQ1!,19615.75,19617.75,19615.25,19615.25,22.0
2024-08-15 21:11:00,CME_MINI:NQ1!,19616.0,19616.5,19611.75,19613.0,50.0
2024-08-15 21:12:00,CME_MINI:NQ1!,19611.5,19614.0,19611.5,19613.0,10.0
2024-08-15 21:13:00,CME_MINI:NQ1!,19613.0,19614.75,19612.0,19614.5,16.0
2024-08-15 21:14:00,CME_MINI:NQ1!,19614.5,19618.25,19614.5,19617.5,28.0
2024-08-15 21:15:00,CME_MINI:NQ1!,19618.0,19621.75,19616.5,19618.25,61.0
2024-08-15 21:16:00,CME_MINI:NQ1!,19618.5,19620.0,19618.25,19618.5,12.0
2024-08-15 21:17:00,CME_MINI:NQ1!,19617.5,19620.75,19617.0,19620.0,32.0
2024-08-15 21:18:00,CME_MINI:NQ1!,19620.0,19620.0,19617.0,19617.25,30.0
2024-08-15 21:19:00,CME_MINI:NQ1!,19617.75,19644.5,19617.75,19631.25,868.0
2024-08-15 21:20:00,CME_MINI:NQ1!,19630.25,19634.5,19626.0,19630.75,163.0
